
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
  1865 -8.5142e+00 +0.0000e+00 +0.0000e+00 
  1866 -1.0465e+01 +0.0000e+00 +0.0000e+00 
  1867 -1.1202e+01 +0.0000e+00 +0.0000e+00 
  1868 -1.2060e+01 +0.0000e+00 +0.0000e+00 
  1869 -1.2549e+01 +0.0000e+00 +0.0000e+00 
  1870 -1.3962e+01 +0.0000e+00 +0.0000e+00 
  1871 -8.1957e+00 +0.0000e+00 +0.0000e+00 
  1872 -1.8183e+01 +0.0000e+00 +0.0000e+00 
  1873 -1.7490e+01 +0.0000e+00 +0.0000e+00 
  1874 -1.5946e+01 +0.0000e+00 +0.0000e+00 
  1875 -1.8604e+01 +0.0000e+00 +0.0000e+00 
  1876 -1.9094e+01 +0.0000e+00 +0.0000e+00 
  1877 -2.0306e+01 +0.0000e+00 +0.0000e+00 
  1878 -1.8012e+01 +0.0000e+00 +0.0000e+00 
  1879 -1.6625e+01 +0.0000e+00 +0.0000e+00 
  1880 -1.8992e+01 +0.0000e+00 +0.0000e+00 
  1881 -2.2102e+01 +0.0000e+00 +0.0000e+00 
  1882 -1.4988e+01 +0.0000e+00 +0.0000e+00 
  1883 -1.6861e+01 +0.0000e+00 +0.0000e+00 
  1884 -1.8926e+01 +0.0000e+00 +0.0000e+00 
  1885 -1.4392e+01 +0.0000e+00 +0.0000e+00 
  1886 -1.3518e+01 +0.0000e+00 +0.0000e+00 
  1887 -1.5026e+01 +0.0000e+00 +0.0000e+00 
  1888 -1.2258e+01 +0.0000e+00 +0.0000e+00 
  1889 -1.3993e+01 +0.0000e+00 +0.0000e+00 
  1890 -1.1772e+01 +0.0000e+00 +0.0000e+00 
  1891 -9.4729e+00 +0.0000e+00 +0.0000e+00 
  1892 -1.2112e+01 +0.0000e+00 +0.0000e+00 
  1893 -1.1890e+01 +0.0000e+00 +0.0000e+00 
  1894 -1.0344e+01 +0.0000e+00 +0.0000e+00 
  1895 -1.1612e+01 +0.0000e+00 +0.0000e+00 
  1896 -1.2747e+01 +0.0000e+00 +0.0000e+00 
  1897 -1.0165e+01 +0.0000e+00 +0.0000e+00 
  1898 -1.3715e+01 +0.0000e+00 +0.0000e+00 
  1899 -1.6699e+01 +0.0000e+00 +0.0000e+00 
  1900 -1.3602e+01 +0.0000e+00 +0.0000e+00 
  1901 -1.4342e+01 +0.0000e+00 +0.0000e+00 
  1902 -1.5003e+01 +0.0000e+00 +0.0000e+00 
  1903 -1.6018e+01 +0.0000e+00 +0.0000e+00 
  1904 -1.4064e+01 +0.0000e+00 +0.0000e+00 
  1905 -1.6378e+01 +0.0000e+00 +0.0000e+00 
  1906 -1.6017e+01 +0.0000e+00 +0.0000e+00 
  1907 -1.5621e+01 +0.0000e+00 +0.0000e+00 
  1908 -1.5162e+01 +0.0000e+00 +0.0000e+00 
  1909 -1.1798e+01 +0.0000e+00 +0.0000e+00 
  1910 -1.0382e+01 +0.0000e+00 +0.0000e+00 
  1911 -9.1613e+00 +0.0000e+00 +0.0000e+00 
  1912 -8.2425e+00 +0.0000e+00 +0.0000e+00 
  1913 -6.2117e+00 +0.0000e+00 +0.0000e+00 
  1914 -5.4487e+00 +0.0000e+00 +0.0000e+00 
  1915 -3.7028e+00 +0.0000e+00 +0.0000e+00 
  1916 -1.2156e+00 +0.0000e+00 +0.0000e+00 
  1917 +6.0611e-02 +0.0000e+00 +0.0000e+00 
  1918 +1.1540e+00 +0.0000e+00 +0.0000e+00 
  1919 +2.1678e+00 +0.0000e+00 +0.0000e+00 
  1920 +2.7470e+00 +0.0000e+00 +0.0000e+00 
  1921 +2.9693e+00 +0.0000e+00 +0.0000e+00 
  1922 +2.5858e+00 +0.0000e+00 +0.0000e+00 
  1923 +1.8453e+00 +0.0000e+00 +0.0000e+00 
  1924 +5.7757e-01 +0.0000e+00 +0.0000e+00 
  1925 -9.5235e-01 +0.0000e+00 +0.0000e+00 
  1926 -3.2664e+00 +0.0000e+00 +0.0000e+00 
  1927 -5.0516e+00 +0.0000e+00 +0.0000e+00 
  1928 -6.1473e+00 +0.0000e+00 +0.0000e+00 
  1929 -8.6871e+00 +0.0000e+00 +0.0000e+00 
  1930 -8.6954e+00 +0.0000e+00 +0.0000e+00 
  1931 -1.3758e+01 +0.0000e+00 +0.0000e+00 
  1932 -5.8211e+00 +0.0000e+00 +0.0000e+00 
  1933 -1.0460e+01 +0.0000e+00 +0.0000e+00 
  1934 -1.0287e+01 +0.0000e+00 +0.0000e+00 
  1935 -7.7131e+00 +0.0000e+00 +0.0000e+00 
  1936 -6.2998e+00 +0.0000e+00 +0.0000e+00 
  1937 -5.2315e+00 +0.0000e+00 +0.0000e+00 
  1938 -4.5387e+00 +0.0000e+00 +0.0000e+00 
  1939 -7.2941e+00 +0.0000e+00 +0.0000e+00 
  1940 -2.7544e+00 +0.0000e+00 +0.0000e+00 
  1941 -1.8331e+00 +0.0000e+00 +0.0000e+00 
  1942 -4.3177e-01 +0.0000e+00 +0.0000e+00 
  1943 -8.1618e-01 +0.0000e+00 +0.0000e+00 
  1944 -7.2512e-01 +0.0000e+00 +0.0000e+00 
